search_term,spotify_id,name,popularity,followers,genres,spotify_url,image_url
Drake,3TVXtAsR1Inumwj472S9r4,Drake,98,99682604,rap,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Drake,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,95,42417076,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
Drake,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,97,107326964,,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,95,42417076,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
Kendrick Lamar,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,93,30299294,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a
Kendrick Lamar,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,139596009,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,139596009,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
Taylor Swift,4CB8mmEbDXVxkzNpJgkj65,Salish Matter,37,289317,,https://open.spotify.com/artist/4CB8mmEbDXVxkzNpJgkj65,https://i.scdn.co/image/ab67616d0000b2739584185e27f41b28d287edcc
Taylor Swift,0DwbGCdaD8YLRiVUEiV70Q,Taylor Swift Piano Covers,26,4223,,https://open.spotify.com/artist/0DwbGCdaD8YLRiVUEiV70Q,https://i.scdn.co/image/ab67616d0000b2738160a48bb1693050f496b11e
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,92,121025993,soft pop,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb399444ed4eace08b549d1161
