search_term,spotify_id,name,artist_name,artist_id,album_name,album_id,popularity,duration_ms,duration_formatted,release_date,spotify_url,preview_url,track_id,track_name
God's Plan,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,86,198973,3:18,2018-06-29,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,,,
,,,Drake,3TVXtAsR1Inumwj472S9r4,$ome $exy $ongs 4 U,6Rl6YoCarF2GHPSQmmFjuR,93,241023,4:01,2025-02-14,https://open.spotify.com/track/2u9S9JJ6hTZS3Vf22HOZKg,,2u9S9JJ6hTZS3Vf22HOZKg,NOKIA
,,,Drake,3TVXtAsR1Inumwj472S9r4,Views,40GMAhriYJRO1rsY4YdrZb,90,173986,2:53,2016-05-06,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,,1zi7xx7UVEFkmKfv06H8x0,One Dance
,,,Drake,3TVXtAsR1Inumwj472S9r4,More Life,1lXY618HWkwYKJWBRYR4MK,88,298940,4:58,2017-03-18,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz,,5mCPDVBb16L4XQwDdbRUpz,Passionfruit
,,,Drake,3TVXtAsR1Inumwj472S9r4,Tha Carter IV (Complete Edition),0pFydyko4Iw450abXlDPpp,82,305840,5:05,2011-08-29,https://open.spotify.com/track/0b4M7hd7mzLTm99MrMeZsp,,0b4M7hd7mzLTm99MrMeZsp,She Will
,,,Drake,3TVXtAsR1Inumwj472S9r4,$ome $exy $ongs 4 U,6Rl6YoCarF2GHPSQmmFjuR,87,195431,3:15,2025-02-14,https://open.spotify.com/track/0NUqi0ps17YpLUC3kgsZq0,,0NUqi0ps17YpLUC3kgsZq0,DIE TRYING
,,,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,86,198973,3:18,2018-06-29,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,,6DCZcSspjsKoFjzjrWoCdn,God's Plan
,,,Drake,3TVXtAsR1Inumwj472S9r4,I NEVER LIKED YOU,6tE9Dnp2zInFij4jKssysL,86,189893,3:09,2022-04-29,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,,59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems)
,,,Drake,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),6X1x82kppWZmDzlXXK3y3q,86,235986,3:55,2011-11-15,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ,,6LxSe8YmdPxy095Ux6znaQ,Headlines
,,,Drake,3TVXtAsR1Inumwj472S9r4,Views,40GMAhriYJRO1rsY4YdrZb,84,255786,4:15,2016-05-06,https://open.spotify.com/track/1C7KSXR2GVxknex6I4ANco,,1C7KSXR2GVxknex6I4ANco,9
,,,Drake,3TVXtAsR1Inumwj472S9r4,"Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,84,218364,3:38,2022-06-17,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage)
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,1Ss0ArMRr91m83mOgRBjSZ,92,177598,2:57,2024-11-21,https://open.spotify.com/track/2CGNAOSuO1MEFCbBRgUzjd,,2CGNAOSuO1MEFCbBRgUzjd,luther (with sza)
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,95,232186,3:52,2018-02-09,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,,3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album"""
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,5JjnoGJyOxfSZUZtk2rRwZ,93,274192,4:34,2024-05-04,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,0hvT3yIEysuuvkK73vgdcW,91,220690,3:40,2024-11-22,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG,,0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay)
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city",6PBZN8cbwkqm1ERj2BGXJ1,83,386906,6:26,2012,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,,2HbKqm4o0w5wEeEFXm2sD4,Money Trees
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,4eLPsYPBmXABThSJ821sqY,88,177000,2:57,2017-04-14,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,4eLPsYPBmXABThSJ821sqY,88,213400,3:33,2017-04-14,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,0hvT3yIEysuuvkK73vgdcW,87,157992,2:37,2024-11-22,https://open.spotify.com/track/0nj9Bq5sHDiTxSHunhgkFb,,0nj9Bq5sHDiTxSHunhgkFb,squabble up
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,WE DON'T TRUST YOU,4iqbFIdGOTzXeDtt9owjQn,87,267706,4:27,2024-03-22,https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf,,2tudvzsrR56uom6smgOcSf,Like That
,,,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,4eLPsYPBmXABThSJ821sqY,86,275253,4:35,2017-04-14,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg,,6IZvVAP7VPPnsGX6bvgkqg,PRIDE.
,,,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,3OxfaVgvTxUTy7276t7SPU,95,256000,4:16,2025-01-31,https://open.spotify.com/track/0FIDCNYYjNvPVimz5icugS,,0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti)
